modality,figure_id,current_role,audit_decision,target_role,target_destination,rationale,structural_evidence,real_visual_audit_status
Movement,movement_q2_relationships,main_science,retain_final_submission_asset,main_science,5.4正文,主身体动作指标与Q2关系完整保留；无效应同样属于正式结果,FINAL_P4_EVIDENCE movement_q2_models.csv,superseded_by_final_report_asset_state_20260913
Movement,movement_q2_relationships_pose_sensitivity,sensitivity,keep_appendix,sensitivity,5.4附录,姿态/径向Q2关系保持敏感性角色,FINAL_P4_EVIDENCE figure_manifest,superseded_by_final_report_asset_state_20260913
Movement,movement_behavior_relationships,sensitivity,reclassify_report_role_keep_appendix,formal_companion,5.4附录,主身体动作指标与近期行为的正式模型关系属于正式伴随结果；放附录不等于sensitivity,FINAL_P4_EVIDENCE movement_behavior_links.csv,superseded_by_final_report_asset_state_20260913
Movement,movement_behavior_relationships_pose_sensitivity,sensitivity,keep_appendix,sensitivity,5.4附录,姿态/径向与行为关系继续作为敏感性结果,FINAL_P4_EVIDENCE movement_behavior_links.csv,superseded_by_final_report_asset_state_20260913
Ocular,ocular_frozen_feature_coverage,qualification,keep_appendix,qualification,5.3附录,五个冻结眼部维度的有效覆盖只回答测量资格,4fdb1a2 postfreeze figure_manifest,superseded_by_final_report_asset_state_20260913
Ocular,ocular_alternative_feature_coverage,sensitivity,keep_appendix,sensitivity,5.3附录,几何直径等替代表示只服务预先规定的敏感性与资格审计,4fdb1a2 postfreeze figure_manifest,superseded_by_final_report_asset_state_20260913
Ocular,ocular_task_progression_coefficients,main,retain_final_submission_asset,main_science,5.3正文,1.16.19原计划派生B1/B2调整后轨迹；最终因正式交付表缺少截距和完整协方差而不能在不重拟合前提下完成，故上交版保留正式系数图,4fdb1a2 ocular_task_progression.csv,superseded_by_final_report_asset_state_20260913
Ocular,ocular_q1_coefficients,main,split_main_and_appendix,main_science+formal_companion,5.3正文+附录,正文使用within-person五维×三类别图；生产端混合within/between系数图仅作为附录可追溯结果,4fdb1a2 ocular_q1_models.csv,superseded_by_final_report_asset_state_20260913
Ocular,ocular_q2_coefficients,main,split_main_and_appendix,main_science+formal_companion,5.3正文+附录,正文使用within-person效应；生产端混合within/between系数图仅作为附录可追溯结果,4fdb1a2 ocular_q2_models.csv,superseded_by_final_report_asset_state_20260913
Ocular,ocular_behavior_link_coefficients,main,split_main_and_appendix,main_science+formal_companion,5.3正文+附录,正文按行为结果分面保留人内效应；生产端混合人内人际图作为附录可追溯结果,4fdb1a2 ocular_behavior_links.csv,superseded_by_final_report_asset_state_20260913
Ocular,ocular_missingness_qc,qc,keep_appendix,qc,5.3附录,结构性缺失和特征级可估性属于质量控制；不得解释为注意效应,4fdb1a2 ocular_feature_analysis_coverage.csv,superseded_by_final_report_asset_state_20260913
